in - Epoch 1, Batch: 0, Loss: 4.510623
Train - Epoch 1, Batch: 10, Loss: 3.499236
Train - Epoch 1, Batch: 20, Loss: 2.749599
Train - Epoch 1, Batch: 30, Loss: 2.507091
Train - Epoch 1, Batch: 40, Loss: 2.435946
Train - Epoch 1, Batch: 50, Loss: 2.425952
Train - Epoch 1, Batch: 60, Loss: 2.415704
Train - Epoch 1, Batch: 70, Loss: 2.442085
Train - Epoch 1, Batch: 80, Loss: 2.407200
Train - Epoch 1, Batch: 90, Loss: 2.415901
Train - Epoch 1, Batch: 100, Loss: 2.405163
Train - Epoch 1, Batch: 110, Loss: 2.438517
Train - Epoch 1, Batch: 120, Loss: 2.429084
Test Avg. Loss: 0.002338, Accuracy: 0.100000
Train - Epoch 2, Batch: 0, Loss: 2.424086
Train - Epoch 2, Batch: 10, Loss: 2.437828
Train - Epoch 2, Batch: 20, Loss: 2.403620
Train - Epoch 2, Batch: 30, Loss: 2.437543
Train - Epoch 2, Batch: 40, Loss: 2.411512
Train - Epoch 2, Batch: 50, Loss: 2.436570
Train - Epoch 2, Batch: 60, Loss: 2.444021
Train - Epoch 2, Batch: 70, Loss: 2.397955
Train - Epoch 2, Batch: 80, Loss: 2.449752
Train - Epoch 2, Batch: 90, Loss: 2.404641
Train - Epoch 2, Batch: 100, Loss: 2.400902
Train - Epoch 2, Batch: 110, Loss: 2.381348
Train - Epoch 2, Batch: 120, Loss: 2.416033
Test Avg. Loss: 0.002331, Accuracy: 0.100000
Train - Epoch 3, Batch: 0, Loss: 2.462774
Train - Epoch 3, Batch: 10, Loss: 2.419947
Train - Epoch 3, Batch: 20, Loss: 2.388549
Train - Epoch 3, Batch: 30, Loss: 2.390238
Train - Epoch 3, Batch: 40, Loss: 2.381654
Train - Epoch 3, Batch: 50, Loss: 2.413379
Train - Epoch 3, Batch: 60, Loss: 2.402148
Train - Epoch 3, Batch: 70, Loss: 2.396481
Train - Epoch 3, Batch: 80, Loss: 2.315689
Train - Epoch 3, Batch: 90, Loss: 2.285707
Train - Epoch 3, Batch: 100, Loss: 2.191693
Train - Epoch 3, Batch: 110, Loss: 2.184002
Train - Epoch 3, Batch: 120, Loss: 2.074930
Test Avg. Loss: 0.002010, Accuracy: 0.224600
Train - Epoch 4, Batch: 0, Loss: 2.109392
Train - Epoch 4, Batch: 10, Loss: 2.050186
Train - Epoch 4, Batch: 20, Loss: 1.984906
Train - Epoch 4, Batch: 30, Loss: 2.021270
Train - Epoch 4, Batch: 40, Loss: 1.960908
Train - Epoch 4, Batch: 50, Loss: 1.925745
Train - Epoch 4, Batch: 60, Loss: 1.959961
Train - Epoch 4, Batch: 70, Loss: 1.920242
Train - Epoch 4, Batch: 80, Loss: 1.945156
Train - Epoch 4, Batch: 90, Loss: 1.872961
Train - Epoch 4, Batch: 100, Loss: 1.852947
Train - Epoch 4, Batch: 110, Loss: 1.973063
Train - Epoch 4, Batch: 120, Loss: 1.893862
Test Avg. Loss: 0.001817, Accuracy: 0.320400
Train - Epoch 5, Batch: 0, Loss: 1.881673
Train - Epoch 5, Batch: 10, Loss: 1.912852
Train - Epoch 5, Batch: 20, Loss: 1.931931
Train - Epoch 5, Batch: 30, Loss: 1.874862
Train - Epoch 5, Batch: 40, Loss: 1.837509
Train - Epoch 5, Batch: 50, Loss: 1.892339
Train - Epoch 5, Batch: 60, Loss: 1.722495
Train - Epoch 5, Batch: 70, Loss: 1.733839
Train - Epoch 5, Batch: 80, Loss: 1.822531
Train - Epoch 5, Batch: 90, Loss: 1.824789
Train - Epoch 5, Batch: 100, Loss: 1.756586
Train - Epoch 5, Batch: 110, Loss: 1.725041
Train - Epoch 5, Batch: 120, Loss: 1.731229
Test Avg. Loss: 0.001680, Accuracy: 0.392700
Train - Epoch 6, Batch: 0, Loss: 1.677955
Train - Epoch 6, Batch: 10, Loss: 1.657097
Train - Epoch 6, Batch: 20, Loss: 1.751969
Train - Epoch 6, Batch: 30, Loss: 1.744932
Train - Epoch 6, Batch: 40, Loss: 1.652121
Train - Epoch 6, Batch: 50, Loss: 1.764624
Train - Epoch 6, Batch: 60, Loss: 1.709209
Train - Epoch 6, Batch: 70, Loss: 1.650785
Train - Epoch 6, Batch: 80, Loss: 1.641955
Train - Epoch 6, Batch: 90, Loss: 1.737160
Train - Epoch 6, Batch: 100, Loss: 1.696440
Train - Epoch 6, Batch: 110, Loss: 1.709705
Train - Epoch 6, Batch: 120, Loss: 1.824651
Test Avg. Loss: 0.001594, Accuracy: 0.413300
Train - Epoch 7, Batch: 0, Loss: 1.604382
Train - Epoch 7, Batch: 10, Loss: 1.566031
Train - Epoch 7, Batch: 20, Loss: 1.617310
Train - Epoch 7, Batch: 30, Loss: 1.502884
Train - Epoch 7, Batch: 40, Loss: 1.644059
Train - Epoch 7, Batch: 50, Loss: 1.632651
Train - Epoch 7, Batch: 60, Loss: 1.607262
